City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Bambous Virieux,MU,2020-05-23 00:22:46,-20.34,57.76,73.4,73,40,12.75
125,Geraldton,AU,2020-05-23 00:22:46,-28.77,114.6,62.6,33,0,21.92
126,Faanui,PF,2020-05-23 00:22:46,-16.48,-151.75,79.59,75,0,23.22
127,Cherskiy,RU,2020-05-23 00:22:46,68.75,161.3,33.06,88,100,15.5
128,Road Town,VG,2020-05-23 00:18:31,18.42,-64.62,82.0,85,84,8.01
129,Dudinka,RU,2020-05-23 00:22:47,69.41,86.18,60.8,44,59,4.47
130,Fairbanks,US,2020-05-23 00:22:47,64.84,-147.72,66.99,29,75,12.75
131,Namatanai,PG,2020-05-23 00:22:47,-3.67,152.43,85.21,71,25,2.62
132,Namibe,AO,2020-05-23 00:22:47,-15.2,12.15,75.94,54,0,2.39
133,Christchurch,NZ,2020-05-23 00:20:01,-43.53,172.63,57.0,71,93,12.75
134,Sao Felix Do Xingu,BR,2020-05-23 00:22:48,-6.64,-51.99,75.0,90,3,2.17
135,Chimbote,PE,2020-05-23 00:20:56,-9.09,-78.58,65.97,83,16,9.51
136,Shelton,US,2020-05-23 00:22:48,41.32,-73.09,69.01,72,1,8.05
137,Koygorodok,RU,2020-05-23 00:22:48,60.45,51.0,43.25,95,78,5.86
138,Iqaluit,CA,2020-05-23 00:22:48,63.75,-68.51,32.0,94,90,20.8
139,Provideniya,RU,2020-05-23 00:22:49,64.38,-173.3,42.67,73,91,8.99
140,Narsaq,GL,2020-05-23 00:22:49,60.92,-46.05,51.8,29,100,12.75
141,Vanimo,PG,2020-05-23 00:22:49,-2.67,141.3,86.32,63,37,2.71
142,Gigmoto,PH,2020-05-23 00:22:49,13.78,124.39,85.84,75,96,9.22
143,Moree,AU,2020-05-23 00:22:50,-29.47,149.85,51.8,62,13,11.48
144,Merrill,US,2020-05-23 00:22:29,45.18,-89.68,64.4,72,90,4.79
145,Xining,CN,2020-05-23 00:22:50,36.62,101.77,53.02,60,100,5.21
146,Port Macquarie,AU,2020-05-23 00:22:50,-31.43,152.92,66.0,56,8,1.99
147,Wagar,SD,2020-05-23 00:22:50,16.15,36.2,91.44,26,0,4.21
148,Tuktoyaktuk,CA,2020-05-23 00:22:51,69.45,-133.04,34.09,93,4,8.43
149,Nhulunbuy,AU,2020-05-23 00:22:51,-12.23,136.77,77.0,73,90,19.46
150,Bose,IT,2020-05-23 00:22:51,45.46,8.01,66.99,77,94,2.48
151,Hasaki,JP,2020-05-23 00:22:51,35.73,140.83,66.0,100,75,5.82
152,Vardo,NO,2020-05-23 00:22:51,70.37,31.11,39.97,93,18,9.13
153,Georgetown,MY,2020-05-23 00:22:51,5.41,100.34,80.6,94,20,4.7
154,San Francisco Del Mar,MX,2020-05-23 00:22:52,16.23,-94.65,85.73,73,18,11.45
155,Muravlenko,RU,2020-05-23 00:22:52,63.79,74.52,57.9,57,69,14.52
156,Opuwo,NA,2020-05-23 00:22:52,-18.06,13.84,61.23,37,0,10.04
157,Shunyi,CN,2020-05-23 00:22:52,40.12,116.65,69.01,77,91,4.47
158,Sobolevo,RU,2020-05-23 00:22:52,54.43,31.9,38.12,96,92,7.47
159,Victoria,HK,2020-05-23 00:22:44,22.29,114.16,80.01,90,100,8.99
160,Asau,RO,2020-05-23 00:22:53,46.43,26.4,43.0,81,94,3.6
161,Wad Rawah,SD,2020-05-23 00:22:53,15.16,33.14,89.1,37,12,14.63
162,Khatanga,RU,2020-05-23 00:22:53,71.97,102.5,52.59,84,99,5.12
163,Zhangjiakou,CN,2020-05-23 00:22:53,40.81,114.88,60.91,45,77,8.16
164,Jequie,BR,2020-05-23 00:22:54,-13.86,-40.08,70.3,91,27,2.62
165,Touros,BR,2020-05-23 00:22:54,-5.2,-35.46,75.2,100,90,4.7
166,Zyuzelskiy,RU,2020-05-23 00:22:54,56.49,60.13,46.4,93,99,5.57
167,Talaya,RU,2020-05-23 00:22:54,61.38,152.75,41.16,64,50,11.86
168,Hualmay,PE,2020-05-23 00:22:54,-11.1,-77.61,64.53,82,10,9.82
169,Nome,US,2020-05-23 00:22:55,64.5,-165.41,53.01,66,90,16.11
170,Mahebourg,MU,2020-05-23 00:22:55,-20.41,57.7,73.4,73,40,12.75
171,Kumluca,TR,2020-05-23 00:22:55,36.37,30.29,65.71,36,1,10.22
172,San Quintin,MX,2020-05-23 00:22:55,30.48,-115.95,66.24,68,0,13.11
173,Marshall,US,2020-05-23 00:18:52,34.38,-86.33,79.0,73,1,4.7
174,Vanavara,RU,2020-05-23 00:22:56,60.34,102.28,66.92,42,0,0.85
175,Maldonado,UY,2020-05-23 00:22:56,-34.67,-54.92,60.8,77,90,20.8
176,Astoria,US,2020-05-23 00:22:56,46.19,-123.83,57.0,66,90,13.87
177,Bud,US,2020-05-23 00:22:56,39.45,-86.18,72.0,60,1,3.36
178,Chokurdakh,RU,2020-05-23 00:22:56,70.63,147.92,26.22,98,79,5.5
179,Lima,PE,2020-05-23 00:20:36,-12.04,-77.03,64.4,77,90,9.17
180,Calvia,ES,2020-05-23 00:22:57,39.57,2.51,68.0,63,52,2.24
181,Tiksi,RU,2020-05-23 00:22:57,71.69,128.87,33.94,91,99,7.65
182,Pali,IN,2020-05-23 00:22:57,25.77,73.33,82.06,63,0,13.13
183,Turukhansk,RU,2020-05-23 00:22:57,65.82,87.98,67.77,41,0,9.82
184,Blackwater,AU,2020-05-23 00:22:57,-23.58,148.88,52.05,79,100,3.24
185,Kokorevka,RU,2020-05-23 00:22:58,52.59,34.28,37.2,99,95,5.23
186,Nanortalik,GL,2020-05-23 00:22:58,60.14,-45.24,40.71,70,97,7.78
187,Alofi,NU,2020-05-23 00:22:58,-19.06,-169.92,84.2,83,100,8.05
188,Jinka,ET,2020-05-23 00:22:58,5.65,36.65,63.03,89,89,1.79
189,Chinautla,GT,2020-05-23 00:22:58,14.71,-90.5,73.4,69,75,5.82
190,Zyryanka,RU,2020-05-23 00:22:58,65.75,150.85,39.61,66,39,9.28
191,Jurmala,LV,2020-05-23 00:22:59,56.97,23.77,35.6,100,0,1.12
192,Den Helder,NL,2020-05-23 00:22:59,52.96,4.76,57.0,87,90,12.75
193,Byron Bay,AU,2020-05-23 00:22:09,-28.65,153.62,57.2,62,100,9.17
194,New Glasgow,CA,2020-05-23 00:22:25,45.58,-62.65,46.99,67,56,6.58
195,Natal,BR,2020-05-23 00:22:59,-5.79,-35.21,75.2,94,75,6.93
196,Picos,BR,2020-05-23 00:23:00,-7.08,-41.47,75.0,75,3,3.15
197,San Patricio,MX,2020-05-23 00:23:00,19.22,-104.7,78.8,78,5,20.8
198,Klaksvik,FO,2020-05-23 00:23:00,62.23,-6.59,48.2,93,100,16.11
199,Nikolskoye,RU,2020-05-23 00:23:00,59.7,30.79,42.01,74,2,2.1
200,Paramonga,PE,2020-05-23 00:23:00,-10.67,-77.83,64.56,84,20,9.17
201,Dunedin,NZ,2020-05-23 00:23:00,-45.87,170.5,53.01,79,15,13.0
202,Cabo San Lucas,MX,2020-05-23 00:23:01,22.89,-109.91,84.99,44,5,6.93
203,Coihaique,CL,2020-05-23 00:23:01,-45.58,-72.07,48.2,76,75,5.5
204,Daru,PG,2020-05-23 00:23:01,-9.08,143.21,82.15,84,89,4.81
205,Baindur,IN,2020-05-23 00:23:01,13.87,74.63,81.73,81,66,5.68
206,Dandong,CN,2020-05-23 00:23:01,40.13,124.39,57.72,87,100,10.16
207,Port Stanley,FK,2020-05-23 00:21:09,-51.7,-57.85,44.6,87,20,23.04
208,Coquimbo,CL,2020-05-23 00:23:02,-29.95,-71.34,55.4,71,54,5.82
209,Pangnirtung,CA,2020-05-23 00:23:02,66.15,-65.71,22.66,91,17,1.9
210,Puerto Ayora,EC,2020-05-23 00:23:02,-0.74,-90.35,75.0,89,77,1.01
211,Kuryk,KZ,2020-05-23 00:23:02,43.2,51.65,67.15,56,0,20.18
212,Rawlins,US,2020-05-23 00:23:03,41.79,-107.24,68.0,13,1,25.28
213,Lasa,IT,2020-05-23 00:23:03,46.62,10.7,51.8,71,75,4.7
214,High Level,CA,2020-05-23 00:23:03,58.52,-117.14,46.4,70,90,11.41
215,San Rafael,AR,2020-05-23 00:23:03,-34.62,-68.33,47.25,51,38,6.62
216,Oksfjord,NO,2020-05-23 00:23:03,70.24,22.35,41.0,60,18,12.75
217,San Juan,AR,2020-05-23 00:23:04,-31.54,-68.54,48.78,47,10,6.53
218,Buraydah,SA,2020-05-23 00:23:04,26.33,43.98,75.2,33,5,3.36
219,Novikovo,RU,2020-05-23 00:23:04,51.15,37.89,39.85,87,60,3.11
220,Trairi,BR,2020-05-23 00:23:04,-3.28,-39.27,76.39,92,74,6.62
221,Lompoc,US,2020-05-23 00:23:04,34.64,-120.46,62.6,55,1,18.34
222,Nikolayevsk-Na-Amure,RU,2020-05-23 00:23:05,53.14,140.73,40.75,90,100,3.11
223,Reconquista,AR,2020-05-23 00:23:05,-29.15,-59.65,49.05,92,100,22.46
224,Charthawal,IN,2020-05-23 00:23:05,29.55,77.58,83.88,16,3,6.33
225,Akcaabat,TR,2020-05-23 00:23:05,41.02,39.57,57.2,87,75,21.92
226,Saint-Georges,GD,2020-05-23 00:23:05,12.06,-61.75,82.4,78,20,18.34
227,Acapulco,MX,2020-05-23 00:23:06,16.86,-99.89,84.2,74,5,12.75
228,Alice Springs,AU,2020-05-23 00:23:06,-23.7,133.88,51.8,43,0,9.17
229,Aklavik,CA,2020-05-23 00:23:06,68.22,-135.01,60.8,23,5,6.93
230,Nibe,DK,2020-05-23 00:23:06,56.98,9.64,51.01,95,65,1.01
231,Fare,PF,2020-05-23 00:23:06,-16.7,-151.02,80.31,75,0,23.42
232,Soe,ID,2020-05-23 00:23:07,-9.86,124.28,67.19,100,100,3.4
233,Yumen,CN,2020-05-23 00:23:07,40.28,97.2,58.19,47,82,6.02
234,Shimoda,JP,2020-05-23 00:23:07,34.67,138.95,62.6,93,75,9.17
235,Chernyshevskiy,RU,2020-05-23 00:23:07,63.01,112.47,60.94,46,62,2.42
236,Plakhtiyivka,UA,2020-05-23 00:23:07,46.1,29.72,47.7,72,76,7.83
237,Novosergiyevka,RU,2020-05-23 00:23:08,52.09,53.65,52.47,95,86,8.88
238,Luganville,VU,2020-05-23 00:23:08,-15.53,167.17,82.4,61,40,10.29
239,Havoysund,NO,2020-05-23 00:23:08,71.0,24.66,37.4,59,8,9.17
240,Shingu,JP,2020-05-23 00:23:08,33.73,135.98,73.4,69,75,4.7
241,Ilhabela,BR,2020-05-23 00:23:08,-23.78,-45.36,74.26,73,97,5.55
242,Husavik,IS,2020-05-23 00:23:09,66.04,-17.34,39.2,93,90,6.93
243,Krasnoselkup,RU,2020-05-23 00:23:09,65.7,82.47,62.49,63,24,5.57
244,Meulaboh,ID,2020-05-23 00:23:09,4.14,96.13,76.23,89,100,4.25
245,Cidreira,BR,2020-05-23 00:23:09,-30.18,-50.21,65.79,96,94,2.04
246,Salym,RU,2020-05-23 00:23:09,60.06,71.48,49.98,91,22,4.56
247,Indramayu,ID,2020-05-23 00:23:09,-6.33,108.32,80.44,83,70,4.5
248,Mareeba,AU,2020-05-23 00:23:10,-17.0,145.43,68.0,88,75,3.36
249,Thohoyandou,ZA,2020-05-23 00:23:10,-22.95,30.48,56.14,71,0,2.68
250,Yushan,CN,2020-05-23 00:22:46,31.38,120.95,75.99,78,20,8.95
251,Santiago Del Estero,AR,2020-05-23 00:19:21,-27.8,-64.26,56.66,35,0,14.07
252,Moses Lake,US,2020-05-23 00:23:10,47.13,-119.28,68.0,36,90,10.29
253,Pyaozerskiy,RU,2020-05-23 00:23:11,65.83,31.17,34.72,87,17,3.58
254,Sao Filipe,CV,2020-05-23 00:23:11,14.9,-24.5,75.74,61,0,7.11
255,Cabedelo,BR,2020-05-23 00:23:11,-6.98,-34.83,77.0,100,75,5.82
256,Tullahoma,US,2020-05-23 00:23:11,35.36,-86.21,75.2,78,1,4.7
257,Hurghada,EG,2020-05-23 00:23:11,27.26,33.81,87.8,22,25,16.11
